commodity;moneda;unidad;tipo_precio;año;mes;periodo_ym;precio_mediana;variacion_mensual_pct;estado
ACEITE SOJA;ARS;TN;Precio Hecho;2026;9;2026-09;1165400;;Sin dato
ACEITE SOJA;USD;TN;Precio Hecho;2026;9;2026-09;995;;Sin dato
CEBADA FORR.;USD;TN;Precio Hecho;2026;9;2026-09;210;;Sin dato
Girasol;ARS;TN;Precio Hecho;2026;9;2026-09;50000;;Sin dato
Girasol;USD;TN;Precio Hecho;2026;9;2026-09;400;;Sin dato
Maíz;ARS;TN;Precio Hecho;2026;9;2026-09;290515;;Sin dato
Maíz;USD;TN;Precio Hecho;2026;9;2026-09;198;;Sin dato
Soja;ARS;TN;Precio Hecho;2026;9;2026-09;548800;;Sin dato
Soja;USD;TN;Precio Hecho;2026;9;2026-09;360.57;;Sin dato
Sorgo;USD;TN;Precio Hecho;2026;9;2026-09;195;;Sin dato
TRIGO PAN;ARS;TN;Precio Hecho;2026;9;2026-09;345500;;Sin dato
TRIGO PAN;USD;TN;Precio Hecho;2026;9;2026-09;225;;Sin dato
