fecha;año;mes;commodity;moneda;unidad;tipo_precio;condicion_comercial;fuente;operaciones;precio_promedio;precio_mediana;precio_min;precio_max;volumen_total;precio_ponderado_volumen;procedencias;lugares_entrega
2026-09-09;2026;9;ACEITE SOJA;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;1;995;995;995;995;750;995;CÓRDOBATANCACHA;Zona 11En destino
2026-09-09;2026;9;CEBADA FORR.;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;2;210;210;210;210;120;210;BUENOS AIRESORENSE;QuequenEn destino
2026-09-09;2026;9;Girasol;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;6;426.666667;400;400;510;1175;406.425532;BUENOS AIRESBARRIO BATAN|BUENOS AIRESGUAMINI|BUENOS AIRESLOBERIA|BUENOS AIRESNECOCHEA|BUENOS AIRESSAN MANUEL|SAN LUISBAGUAL;QuequenEn destino|Zona 25En destino
2026-09-09;2026;9;Maíz;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;11;281922.545455;293000;251233;295000;723.63;279809.583489;BUENOS AIRESPIGUE|BUENOS AIRESRANCAGUA|BUENOS AIRESSALADILLO|CÓRDOBAETRURIA|CÓRDOBAMARCOS JUAREZ|CÓRDOBASANTA EUFEMIA|ENTRE RÍOSALDEA VALLE MARIA|TUCUMÁNLEALES;B.BlancaEn destino|Rosario NEn destino|Zona 18En destino|Zona 5En destino|Zona 6En destino
2026-09-09;2026;9;Maíz;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;4;185.9075;193.45;161.73;195;802.83;189.706476;BUENOS AIRESGENERAL VILLEGAS|BUENOS AIRESLIMA|LA PAMPAREALICO|SANTA FERUFINO;Rosario NEn destino|Rosario SEn destino|Zona 5En origen|Zona 7En destino
2026-09-09;2026;9;Soja;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;8;552212.5;556000;518700;560000;5730.29;559362.591597;BUENOS AIRES25 DE MAYO|BUENOS AIRESCARLOS CASARES|BUENOS AIRESCHIVILCOY|BUENOS AIRESVILLA MOQUEHUA|ENTRE RÍOSALDEA VALLE MARIA|SANTA FECARMEN|SANTA FEEUSEBIA|SANTA FETEODELINA;Bs AsEn destino|Rosario NEn destino|Rosario SEn destino|Zona 18En destino|Zona 6En destino|Zona 8En destino
2026-09-09;2026;9;Soja;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;4;363;365;355;367;1449;361.487233;BUENOS AIRESNECOCHEA|BUENOS AIRESQUEQUEN|SANTA FESAN LORENZO;QuequenEn destino
2026-09-09;2026;9;TRIGO PAN;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;9;368788.888889;360000;338100;440000;668.79;381576.189835;BUENOS AIRES12 DE OCTUBRE|BUENOS AIRESVILLA MOQUEHUA|CÓRDOBAADELIA MARIA|CÓRDOBAPASCANAS|SANTA FEALCORTA DTO CONSTITU|SANTA FECASILDA|SANTA FETIMBUES;Bs AsEn destino|Zona 12En destino|Zona 5En destino|Zona 7En destino|Zona 8En destino
2026-09-09;2026;9;TRIGO PAN;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;1;240;240;240;240;105;240;BUENOS AIRESMAIPU;QuequenEn destino
2026-09-10;2026;9;CEBADA FORR.;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;1;210;210;210;210;90;210;BUENOS AIRESCARMEN DE PATAGONES;B.BlancaEn destino
2026-09-10;2026;9;Maíz;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;5;278530;293400;255425;295000;639.62;278804.897439;BUENOS AIRESSALADILLO|CÓRDOBALABOULAYE|SANTA FESAN LORENZO|SANTA FEVENADO TUERTO;Bs AsEn destino|Zona 4En destino|Zona 9En destino
2026-09-10;2026;9;Maíz;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;3;196;195;195;198;2130;197.112676;CÓRDOBAJUSTINIANO POSSE|CÓRDOBATANCACHA|SANTA FEPILAR;Rosario NEn destino
2026-09-10;2026;9;Soja;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;3;549200;555000;537600;555000;658.46;554062.43052;CÓRDOBARIO CUARTO|SANTA FELOMA ALTA|SANTA FEPILAR;Rosario NEn destino|Zona 12En destino|Zona 9En destino
2026-09-10;2026;9;Soja;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;1;358;358;358;358;3000;358;SANTA FESAN LORENZO;Rosario NEn destino
2026-09-10;2026;9;TRIGO PAN;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;1;330835;330835;330835;330835;120;330835;SANTA FELA GALLARETA;Rosario SEn destino
2026-09-10;2026;9;TRIGO PAN;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;1;225;225;225;225;150;225;BUENOS AIRESCHACABUCO;Rosario SEn destino
2026-09-11;2026;9;Maíz;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;5;249791;262490;162490;299000;854.48;252605.970415;ENTRE RÍOSGUALEGUAY|ENTRE RÍOSVILLAGUAY;Zona 13En destino
2026-09-11;2026;9;Maíz;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;6;206.666667;210;200;210;1640;207.621951;BUENOS AIRESCARMEN DE ARECO|CÓRDOBARIO SEGUNDO|CÓRDOBAWENCESLAO ESCALANTE|ENTRE RÍOSBOVRIL|ENTRE RÍOSSANTA ELENA (ARROYO;Rosario NEn destino|Rosario SEn destino
2026-09-11;2026;9;Soja;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;2;515200;515200;515200;515200;316.96;515200;ENTRE RÍOSCONCEPCION DEL URUGU;Zona 13En destino
2026-09-11;2026;9;TRIGO PAN;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;1;320000;320000;320000;320000;29.54;320000;BUENOS AIRESCHILLAR;Zona 6En destino
2026-09-11;2026;9;TRIGO PAN;USD;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;1;230;230;230;230;32.95;230;BUENOS AIRESTRES ARROYOS;QuequenEn destino
2026-09-12;2026;9;Maíz;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;4;289500;296000;267000;299000;245;283816.326531;CÓRDOBACAPILLA DE REMEDIOS|CÓRDOBAJUSTINIANO POSSE|CÓRDOBALOZADA;CordobaEn destino|Zona 11En destino|Zona 8En origen
2026-09-12;2026;9;Soja;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;2;534800;534800;520800;548800;120.63;537194.26345;ENTRE RÍOSMARIA GRANDE|SANTA FESOUTOMAYOR;Zona 14En destino|Zona 18En destino
2026-09-12;2026;9;TRIGO PAN;ARS;TN;Precio Hecho;Sin especificar;SIO Granos / Secretaría de Agricultura;1;350000;350000;350000;350000;36.05;350000;SANTIAGO DEL ESTEROCHAÑAR POZO (LA ESPE;CordobaEn destino
