id_operacion_sio;fecha;año;mes;commodity;fuente;mercado;tipo_precio;operacion;moneda;unidad;precio;precio_original_texto;volumen;volumen_unidad;procedencia;lugar_entrega;condicion_comercial;precio_cero_flag;precio_valido_para_serie;fecha_descarga_snapshot;fecha_actualizacion_dashboard;observaciones
8470154;2026-09-09;2026;9;TRIGO PAN;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;360000;"360000,00
$";120,00;TN;SANTA FECASILDA;Zona 8En destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470139;2026-09-09;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;555000;"555000,00
$";140,00;TN;SANTA FETEODELINA;Rosario SEn destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470126;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;293000;"293000,00
$";30,00;TN;BUENOS AIRESPIGUE;B.BlancaEn destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470121;2026-09-09;2026;9;Girasol;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;400;"400,00
U$S";90,00;TN;BUENOS AIRESSAN MANUEL;QuequenEn destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470118;2026-09-09;2026;9;Girasol;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;400;"400,00
U$S";450,00;TN;BUENOS AIRESBARRIO BATAN;QuequenEn destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470115;2026-09-09;2026;9;Girasol;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;450;"450,00
U$S";30,00;TN;BUENOS AIRESNECOCHEA;QuequenEn destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470101;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;282000;"282000,00
$";95,42;TN;TUCUMÁNLEALES;Rosario NEn destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470099;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;282000;"282000,00
$";95,42;TN;TUCUMÁNLEALES;Rosario NEn destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470090;2026-09-09;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;560000;"560000,00
$";5000,00;TN;BUENOS AIRESVILLA MOQUEHUA;Rosario NEn destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470082;2026-09-09;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;367;"367,00
U$S";450,00;TN;SANTA FESAN LORENZO;QuequenEn destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470080;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;295000;"295000,00
$";60,00;TN;BUENOS AIRESSALADILLO;Zona 5En destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470074;2026-09-09;2026;9;TRIGO PAN;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;440000;"440000,00
$";120,00;TN;SANTA FETIMBUES;Zona 5En destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470053;2026-09-09;2026;9;TRIGO PAN;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;420000;"420000,00
$";120,00;TN;CÓRDOBAADELIA MARIA;Bs AsEn destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470019;2026-09-09;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;365;"365,00
U$S";200,00;TN;BUENOS AIRESNECOCHEA;QuequenEn destino;;no;sí;2026-09-09T10:22:32;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470014;2026-09-09;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;365;"365,00
U$S";200,00;TN;BUENOS AIRESNECOCHEA;QuequenEn destino;;no;sí;2026-09-09T10:20:08;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo"
